2023-04-29 13:24:32,954 p=7219 u=root n=ansible | cntl                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:24:32,954 p=7219 u=root n=ansible | db01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 13:24:32,954 p=7219 u=root n=ansible | mc01                       : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 13:24:32,955 p=7219 u=root n=ansible | rmq01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 13:24:32,955 p=7219 u=root n=ansible | web01                      : ok=2    changed=0    unreachable=0    failed=1    skipped=0    rescued=0    ignored=0   
2023-04-29 13:29:59,646 p=7551 u=ubuntu n=ansible | PLAY [Set host to ip mapping in /etc/hosts file of all the instances in the stack] ***
2023-04-29 13:29:59,656 p=7551 u=ubuntu n=ansible | TASK [Gathering Facts] *********************************************************
2023-04-29 13:30:01,676 p=7551 u=ubuntu n=ansible | ok: [web01]
2023-04-29 13:30:01,708 p=7551 u=ubuntu n=ansible | ok: [app01]
2023-04-29 13:30:01,737 p=7551 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 13:30:01,805 p=7551 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 13:30:01,825 p=7551 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 13:30:03,307 p=7551 u=ubuntu n=ansible | ok: [db01]
2023-04-29 13:30:03,323 p=7551 u=ubuntu n=ansible | TASK [Import VPC setup Variable] ***********************************************
2023-04-29 13:30:03,370 p=7551 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 13:30:03,395 p=7551 u=ubuntu n=ansible | ok: [web01]
2023-04-29 13:30:03,421 p=7551 u=ubuntu n=ansible | ok: [app01]
2023-04-29 13:30:03,438 p=7551 u=ubuntu n=ansible | ok: [rmq01]
2023-04-29 13:30:03,440 p=7551 u=ubuntu n=ansible | ok: [mc01]
2023-04-29 13:30:03,449 p=7551 u=ubuntu n=ansible | ok: [db01]
2023-04-29 13:30:03,457 p=7551 u=ubuntu n=ansible | TASK [Update hosts file for all the hosts] *************************************
2023-04-29 13:30:04,361 p=7551 u=ubuntu n=ansible | changed: [web01]
2023-04-29 13:30:04,362 p=7551 u=ubuntu n=ansible | changed: [rmq01]
2023-04-29 13:30:04,362 p=7551 u=ubuntu n=ansible | changed: [mc01]
2023-04-29 13:30:04,363 p=7551 u=ubuntu n=ansible | changed: [app01]
2023-04-29 13:30:04,424 p=7551 u=ubuntu n=ansible | ok: [cntl]
2023-04-29 13:30:04,707 p=7551 u=ubuntu n=ansible | changed: [db01]
2023-04-29 13:30:04,723 p=7551 u=ubuntu n=ansible | PLAY RECAP *********************************************************************
2023-04-29 13:30:04,723 p=7551 u=ubuntu n=ansible | app01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:30:04,723 p=7551 u=ubuntu n=ansible | cntl                       : ok=3    changed=0    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:30:04,724 p=7551 u=ubuntu n=ansible | db01                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:30:04,724 p=7551 u=ubuntu n=ansible | mc01                       : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:30:04,724 p=7551 u=ubuntu n=ansible | rmq01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2023-04-29 13:30:04,725 p=7551 u=ubuntu n=ansible | web01                      : ok=3    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
